id,transcription
MT0015005100,Some with my baby tonight Build a cup with my baby tonight But I ain't up to my baby tonight cause it's too dark It's too dark It's too dark I'd like to cool with my baby tonight And pinch the wound with my baby tonight I'd like to cool with my baby tonight
MT0015028144,"I know just play a melody that everybody knows Take it down down down let's trip us through the cold I don't really need much less this more more Should I? Should I? But you're scared to be so simple I'm you, I'm you, I'm you"
MT0015680193,I love you when you call I love you when you call I love you when you call But you never call at all So what's the complication? It's only conversation I love you when you call But you never call at all But you never call I love you when you call
MT0015742096,The morning found three miles away We're still a million things to see No! When quiet hills the sky above We're calling through the law
MT0015934550,We're loving turns to party I'm always first to lean Cause when it comes to heart I'd rather give and to receive I'll never cry myself Sleep just praying I'll get through I'll never lost in love Not coming here Not coming here I've never had a heart I'll never cry
MT0016972827,Driving-start with disgust
MT0017797643,He spent the whole day trying to prove to be like him Those lips laying on the floor Nothing is certain Life influenced you Now your life has becomeric As the god told you Then the sorting-like
MT0018024152,"I'm someone else too If you're only new It's a crazy life But I'm alright I got everything I've always wanted Living a dream So yeah, everything I've always wanted Is it always but it seems I'm a lucky girl I'm a lucky girl"
MT0018029465,I got my sights set on you and I'm ready to wait I have a heart that will never retain I knew you were someone special when he's pulled my name Now I can't wait to see you again I'm ready to wait
MT0018031959,
MT0018450519,"I'm gonna love you down and show you the world I'm gonna give you a good bye when he put you through He's gonna love you the way that I can't acube a mind Just show me the signs Give me a permission to take a trip with me So that's how you miss my mission And the better's how we need Oh, I'm looking to find it I'm gonna love you"
MT0018617125,"For you and me, I know that tomorrow can change everything. I know that happiness would not be a problem, But after the clouds, But after the clouds, We see only the green light, The rainbow in your eyes. Everything is like a mirage, When life goes well, To fall in love with you."
MT0018651126,"I see no beauty, I see Moses with me In my answer to the breeze, I pray to the dead I came in November, to the dead in my name Tell her young me"
MT0026158301,I did something in your eyes and it wasn't right I should've walked but I never had the chance Everything got out of hand and I let it slide Now I only had myself to blame But only for your stupid games I wish my life could be the way it was before I saw your face You told my happy you made me cry You thought only it took me for a ride I don't wanna...
MT0026727455,"I got the right I'll curl your pose and roll your eyes Now it's a wrap in I got some cable Tell me who's your daddy and what's my name I'll sing it Ooh ooh ooh I got you and my eyes in a way that you'll pretend Ooh ooh ooh Now you're coming to love a girl Come position yourself Slowly and slowly move into position Ah, like a free from the teacher You are so"
MT0026753600,"The most important thing was quite a joke and I got all the laughs and were luckin' for it. See if I had to fight my whole life. Something y'all would giggle the night through the rid of some guy's laughin' I'd bust and see it I'd take, but life ain't easy for a boy and he'd sit on the floor. But I grew up a quick and I grew up meanin' my fist got hard, my whisk got a heater. Rumble, down, down, the height of my shape. But I made me a bow to the moon at start."
MT0026753827,We fed Was To
MT0026795261,Look atAS labour
MT0027002641,"It's never enough, it's never enough, it's never enough, it's not enough, it's never enough It's been a battle of war, for the people, places and things"
MT0027035970,"I need you loving right now, come on, let's make the love deal. Oh, turn your lights down low, open up your back door, turn the lights down low."
MT0027048677,I want to win what I want to lose I want to win what I want to win I want to win what I want to lose Better than I do I want to lose my love
MT0027159893,Music
MT0027478016,music
MT0028220133,osh
MT0028445777,
MT0028495262,Ycirca
MT0028617657,"Did you see and you see I gonna have my bite? Sir, get ready for me love Cause I'm a comma I simply gotta march my heart's a drummer Don't bring around a clad read on my parade I'm gonna live and live now Yet what I want I know how One roll from the whole shop bank One row that bell will blow clang"
MT0028627699,I wouldn't work all day Baby And I been so grown If I wouldn't bring you my pain Baby But if I ever caught you running around Throwing my money all over the town Then I wouldn't be doggo Hey hey I been long gone Then I wouldn't be doggo Hey hey
MT0028648077,"What can I do? Oh what can I do? What can I do without a confidence, Love is strange! What can I say? What can I say? What can I hate? How can INoone I can hate? What can I do? If it wasn't for the Lord, Well what can I do? What can I do? What can I do? If it wasn't for the Lord? What can I say? What could I say? How can I feel? How can I hate? Okay. Look"
MT0029065626,"You will I like when I like when I'm all in life that way Always that way You want your love, you want your love, you want your love I can't do that Where should you be? You're the only one of the many"
MT0029492542,"I'm not a show, tell me now But I do it's ever better than for your soul My love But I do it's ever better than for your soul I'm a school, a school, a school, a school"
MT0029874624,You are a good associate Tell me where you are With you I am I asked your obsession I am in love Without my heart I will be in love The fragment of the sea I will be in love
MT0030484925,I've been working so hard I've been working I've been working so hard I've come home One bit of the yield I've been growing up I've been growing up so long I've been growing I've been growing up so long
MT0030487841,Anymore Answers
MT0031544440,"The joy in life is loving you But now the day has gone Let you know where I'm coming from Yeah, best of my year We're going to you There's only thing I can do But these things Don't come over now"
MT0031922089,PURPA PLEASE
MT0031996897,"I never needed any more My life is an easy baby, it's the life that I need I got music and never decided on me I gotta set it free All I need is a rock and roll band It's something you need to play"
MT0032061241,"""Fans lively jazz music playing century by playing century by"
MT0032181833,"And we will end up exhausting Other friends will get along better The soul who struggles at thes The most expensive business that you've all been crazy about If there's a little bit, you're really worth it Here, in the mine and mine WON ."
MT0032235381,"We're going to grab and touch on all the music they play on the bandstand. We're going to swing it, we're going to swing in the crowd. We're gonna swing it, we're gonna swing it. I'm gonna hide the clouds, I'm gonna throw the ring in, my mom and dad are so proud. I'm gonna dance then. And I'm jumping, hey, I may need to show my hands then. And I'm jumping, hey, I may need to show my hands then."
MT0032332758,
MT0032405040,
MT0032892262,Music
MT0033397838,Welcome.
MT0033415296,"Down and down they go Round and around I go Like a leaf, caught in the tide I should stay away What can I do I hear your name And I'm afraid Flaming Framing desire That only your kiss Put out the fire"
MT0033443279,clicking on the connection in your h Y .
MT0033841575,Music Music Do anything you want I've never find a way to leave me Cause I need to do much So please you keep on don't deserve me
MT0033940994,My
MT0033958450,"Well away up north where the air gets cold you'll find the same nick And the tale about Christmas that you've all been told about the same nick The real famous guy on the west of the river spins the whole year And I always say the little same nick, the little same nick Just a little Bob's let me call it the little same nick"
MT0034125967,"Sick from the soup, true love is sweet, but if it's mess hand-own, a bitter-win blouse, and hot ghost you can't do lose, got the fluency is laid up, laid up, laid up, laid up, laid up, laid up, laid up, laid up, lose, got the fluency is laid up, laid up, laid up, happy, good well, pretty soon though."
MT0034555338,music
MT0034988131,I knew I was a cop with it I needed a shot of it So I'm one dog And there's you in the living room I needed someone I understand my forgotten town And there's you in the living room Which we love And devotion You've lived up to me My devotion I won't stop Thank you
MT0036368550,"Hey man, all my favorite brands, brands, brands, brands Give me space for both my hands, hands, hands, hands You, you, cause it goes on and on and on And it goes on and on and on Yeah, I throw my hands up in the air sometimes Sayin' Ayo, gotta let go I wanna celebrate and live my life Sayin' Ayo"
MT0000011357,music
MT0000011975,Kill Seungmin
MT0000133200,"When I stop, where is this nightmare right now? Would it find courage to go all the way back home?"
