id,emotion
MT0009117202,Anger
MT0009169626,Sad
MT0009182700,Sad
MT0009185069,Relaxed
MT0009188643,Happy
MT0009202768,Happy
MT0009208842,Happy
MT0009213083,Happy
MT0009217411,Anger
MT0009220462,Sad
MT0009253118,Anger
MT0009289348,Relaxed
MT0009293226,Anger
MT0009346128,Anger
MT0009348908,Anger
MT0009368615,Sad
MT0009378909,Happy
MT0009385684,Sad
MT0009421924,Anger
MT0009437817,Sad
MT0009521580,Sad
MT0009601423,Anger
MT0009619048,Sad
MT0009628869,Sad
MT0009693151,Sad
MT0009729892,Happy
MT0009741521,Relaxed
MT0009769814,Relaxed
MT0009800907,Anger
MT0009845271,Happy
MT0009845275,Happy
MT0009845276,Happy
MT0009872131,Anger
MT0009897495,Happy
MT0009904717,Happy
MT0009908994,Anger
MT0009991160,Relaxed
MT0009996318,Sad
MT0010085729,Happy
MT0010203716,Relaxed
MT0010310896,Anger
MT0010344415,Happy
MT0010375510,Sad
MT0010392442,Happy
MT0010415730,Anger
MT0010463505,Anger
MT0010465830,Happy
MT0010468178,Sad
MT0010482550,Happy
MT0010485603,Relaxed
MT0010487769,Happy
MT0010489498,Happy
MT0010490157,Anger
MT0010501618,Happy
MT0010585105,Sad
MT0010615428,Anger
MT0010617945,Happy
MT0010624346,Anger
MT0010665248,Relaxed
MT0010694663,Happy
MT0010707508,Relaxed
MT0010736208,Anger
MT0010739708,Sad
MT0010758927,Relaxed
MT0010804974,Sad
MT0010810859,Relaxed
MT0010818060,Relaxed
MT0010842738,Relaxed
MT0010850805,Sad
MT0010855214,Relaxed
MT0010897525,Anger
MT0010900969,Happy
MT0010965655,Relaxed
MT0010979481,Relaxed
MT0010983830,Anger
MT0010984486,Relaxed
MT0010998105,Relaxed
MT0011032905,Sad
MT0011051663,Relaxed
MT0011066228,Sad
MT0011095825,Sad
MT0011104152,Happy
MT0011145388,Anger
MT0011158114,Sad
MT0011230792,Sad
MT0011250965,Relaxed
MT0011259078,Anger
MT0011308097,Sad
MT0011322528,Anger
MT0011348776,Anger
MT0011354857,Happy
MT0011369407,Anger
MT0011376343,Relaxed
MT0011380622,Relaxed
MT0011391187,Sad
MT0011398970,Sad
MT0011413068,Anger
MT0011440705,Sad
MT0011458668,Anger
MT0011489804,Anger
MT0011560587,Happy
MT0011564855,Happy
MT0011574534,Happy
MT0011575842,Happy
MT0011594970,Sad
MT0011612883,Sad
MT0011667212,Sad
MT0011697297,Anger
MT0011702301,Relaxed
MT0011739779,Happy
MT0011786799,Happy
MT0011821215,Happy
MT0011836290,Sad
MT0011862487,Relaxed
MT0011869625,Happy
MT0011886148,Relaxed
MT0011894681,Sad
MT0011895175,Relaxed
MT0011899302,Sad
MT0011906602,Relaxed
MT0011916674,Happy
MT0011922080,Relaxed
MT0011922905,Relaxed
MT0011930865,Happy
MT0011938737,Relaxed
MT0011950450,Happy
MT0011957429,Happy
MT0011959819,Anger
MT0011960348,Anger
MT0011969592,Sad
MT0011975274,Anger
MT0011997914,Happy
MT0011999773,Happy
MT0012001409,Anger
MT0012008752,Anger
MT0012020062,Sad
MT0012027536,Relaxed
MT0012041920,Happy
MT0012112600,Relaxed
MT0012116237,Anger
MT0012124855,Anger
MT0012151268,Relaxed
MT0012168286,Anger
MT0012202513,Happy
MT0012222183,Relaxed
MT0012292188,Sad
MT0012317309,Sad
MT0012331779,Happy
MT0012333553,Relaxed
MT0012383717,Relaxed
MT0012396528,Happy
MT0012534566,Happy
MT0012601428,Happy
MT0012634038,Sad
MT0012658636,Anger
MT0012675695,Sad
MT0012742379,Happy
MT0012766840,Relaxed
MT0012794033,Relaxed
MT0012798988,Happy
MT0012846850,Happy
MT0012855159,Anger
MT0012862507,Relaxed
MT0012865192,Anger
MT0012888230,Relaxed
MT0012893353,Relaxed
MT0012914763,Anger
MT0012941049,Relaxed
MT0013044535,Sad
MT0013080259,Sad
MT0013095380,Relaxed
MT0013101577,Happy
MT0013161246,Sad
MT0013166908,Sad
MT0013173557,Sad
MT0013176970,Relaxed
MT0013177702,Relaxed
MT0013219857,Sad
MT0013235939,Happy
MT0013280170,Relaxed
MT0013313448,Anger
MT0013350034,Happy
MT0013389935,Happy
MT0013411556,Relaxed
MT0013416300,Sad
MT0013418800,Anger
MT0013486354,Relaxed
MT0013590244,Happy
MT0013612461,Anger
MT0013621344,Happy
MT0013633209,Happy
MT0013673733,Relaxed
MT0013676763,Relaxed
MT0013790748,Anger
MT0013800071,Happy
MT0013822237,Anger
MT0013824918,Anger
MT0013885218,Anger
MT0013914319,Happy
MT0013955066,Relaxed
MT0014046859,Sad
MT0014050974,Sad
MT0014118699,Sad
MT0014134790,Relaxed
MT0014157389,Anger
MT0014192212,Sad
MT0014475915,Relaxed
MT0014489361,Relaxed
MT0014507179,Relaxed
MT0014576739,Happy
MT0014584319,Relaxed
MT0014584473,Sad
MT0014586720,Happy
MT0014615863,Anger
MT0014650360,Happy
MT0014665667,Sad
MT0014703649,Anger
MT0014737299,Sad
MT0014794891,Sad
MT0014804830,Sad
MT0014817509,Anger
MT0014838459,Anger
MT0014845647,Anger
MT0014878397,Anger
MT0014997916,Anger
MT0015004289,Sad
MT0015005100,Happy
MT0015026293,Relaxed
MT0015028144,Happy
MT0015510419,Sad
MT0015514030,Sad
MT0015541501,Anger
MT0015599764,Sad
MT0015653546,Relaxed
MT0015659520,Relaxed
MT0015664499,Sad
MT0015665796,Sad
MT0015680193,Happy
MT0015682649,Sad
MT0015706588,Relaxed
MT0015715008,Sad
MT0015742096,Happy
MT0015849191,Relaxed
MT0015934550,Happy
MT0015962332,Anger
MT0015971175,Anger
MT0016743722,Anger
MT0016887233,Relaxed
MT0016897938,Relaxed
MT0016932218,Relaxed
MT0016972827,Happy
MT0017475710,Anger
MT0017667847,Relaxed
MT0017672677,Relaxed
MT0017797643,Happy
MT0018024152,Happy
MT0018029465,Happy
MT0018031959,Happy
MT0018450519,Happy
MT0018617125,Happy
MT0018651126,Happy
MT0026158301,Happy
MT0026330298,Sad
MT0026520343,Anger
MT0026608644,Relaxed
MT0026690204,Sad
MT0026727455,Happy
MT0026753600,Happy
MT0026753827,Happy
MT0026776967,Relaxed
MT0026795261,Happy
MT0026898936,Anger
MT0026905937,Sad
MT0026919017,Relaxed
MT0026963572,Anger
MT0027002641,Happy
MT0027035970,Happy
MT0027048677,Happy
MT0027100467,Relaxed
MT0027159893,Happy
MT0027256574,Anger
MT0027478016,Happy
MT0027835071,Relaxed
MT0027976714,Relaxed
MT0028066739,Relaxed
MT0028159092,Anger
MT0028167155,Anger
MT0028172888,Anger
MT0028213435,Anger
MT0028220133,Happy
MT0028335228,Relaxed
MT0028345470,Anger
MT0028374210,Relaxed
MT0028445777,Happy
MT0028469910,Anger
MT0028495262,Happy
MT0028550964,Relaxed
MT0028560561,Anger
MT0028596249,Relaxed
MT0028617657,Happy
MT0028627699,Happy
MT0028633715,Anger
MT0028648077,Happy
MT0028698324,Sad
MT0028709149,Relaxed
MT0028750297,Anger
MT0028813196,Relaxed
MT0028947009,Sad
MT0029065626,Happy
MT0029080694,Relaxed
MT0029099688,Anger
MT0029492542,Happy
MT0029553110,Relaxed
MT0029772184,Anger
MT0029861029,Sad
MT0029874624,Happy
MT0029877658,Sad
MT0029976595,Relaxed
MT0030007733,Relaxed
MT0030036616,Relaxed
MT0030097602,Relaxed
MT0030124886,Anger
MT0030160582,Anger
MT0030203729,Anger
MT0030214520,Anger
MT0030247926,Sad
MT0030252676,Sad
MT0030271679,Anger
MT0030282917,Relaxed
MT0030286920,Relaxed
MT0030304982,Sad
MT0030319227,Relaxed
MT0030321464,Sad
MT0030369896,Relaxed
MT0030400613,Sad
MT0030422114,Sad
MT0030442334,Relaxed
MT0030481897,Relaxed
MT0030484925,Happy
MT0030487841,Happy
MT0030494794,Relaxed
MT0030495725,Relaxed
MT0031495046,Relaxed
MT0031544440,Happy
MT0031693432,Sad
MT0031807708,Relaxed
MT0031826774,Relaxed
MT0031827474,Relaxed
MT0031886830,Relaxed
MT0031898123,Relaxed
MT0031922089,Happy
MT0031926476,Anger
MT0031951901,Sad
MT0031996897,Happy
MT0032061241,Happy
MT0032181833,Happy
MT0032235381,Happy
MT0032297238,Anger
MT0032332758,Happy
MT0032405040,Happy
MT0032698237,Relaxed
MT0032892262,Happy
MT0032957418,Anger
MT0033084992,Anger
MT0033097471,Anger
MT0033159895,Sad
MT0033177286,Sad
MT0033226848,Sad
MT0033287096,Anger
MT0033287114,Anger
MT0033317646,Sad
MT0033326377,Relaxed
MT0033345959,Sad
MT0033391280,Relaxed
MT0033397838,Happy
MT0033410438,Relaxed
MT0033415296,Happy
MT0033443279,Happy
MT0033461826,Relaxed
MT0033841575,Happy
MT0033940994,Happy
MT0033958450,Happy
MT0034005433,Relaxed
MT0034013916,Anger
MT0034015731,Relaxed
MT0034106363,Relaxed
MT0034125967,Happy
MT0034136847,Sad
MT0034148562,Relaxed
MT0034160981,Relaxed
MT0034186195,Relaxed
MT0034186620,Relaxed
MT0034203861,Relaxed
MT0034212119,Relaxed
MT0034403951,Anger
MT0034555338,Happy
MT0034574251,Sad
MT0034577404,Relaxed
MT0034694413,Anger
MT0034816599,Anger
MT0034982187,Sad
MT0034988131,Happy
MT0034991842,Anger
MT0035000258,Relaxed
MT0035007057,Sad
MT0035241621,Anger
MT0035316286,Sad
MT0035332835,Anger
MT0035334027,Anger
MT0036111736,Anger
MT0036368550,Happy
MT0040033011,Sad
