id,duration,tempo,spectral_centroid,zero_crossing_rate,chroma_feature,mfccs,rms,harmonicity,transcription,valence_mean,valence_std,arousal_mean,arousal_std,emotion
18,45.0609977324263,92.28515625,2315.1263648190143,0.0488969271235832,"[0.4045580327510834, 0.28140974044799805, 0.3352244794368744, 0.3911648094654083, 0.5035388469696045, 0.45518553256988525, 0.39395570755004883, 0.3347121477127075, 0.3333187401294708, 0.356198251247406, 0.39756476879119873, 0.5350645184516907]","[-240.419189453125, 156.33750915527344, -18.080768585205078, 62.120304107666016, -15.781753540039062, 10.655288696289062, 0.38701775670051575, 5.401256084442139, -2.276852607727051, -8.301595687866211, -5.55397367477417, 3.8016951084136963, -0.6831972599029541, -0.5204757452011108, 1.1760644912719727, -6.941313743591309, -3.6952483654022217, -3.4920637607574463, -0.27210384607315063, -6.917139053344727]",0.07100744,-5.1534005e-07,"You're left forsaken, all the love you've taken Sleeping on the razor, so well left to fall Your body's aching, every bone is breaking Nothing seems to shake it, just keeps holding on Your soul is able, death is all you can do",4.8,1.72,3.9,1.37, Relaxed
19,45.03487528344671,126.04801829268293,1999.853545323745,0.0426997484451533,"[0.5028781294822693, 0.48078370094299316, 0.5294076204299927, 0.5966155529022217, 0.5536680817604065, 0.6036839485168457, 0.4152321517467499, 0.406667023897171, 0.5531247854232788, 0.5307348966598511, 0.6091040968894958, 0.5336946249008179]","[-123.51153564453125, 182.55726623535156, -18.492704391479492, 24.32732391357422, 3.762296199798584, 20.118751525878906, -10.629678726196289, 13.703948020935059, -3.9884560108184814, 5.120769500732422, 4.134306907653809, 3.0492892265319824, -2.7589614391326904, 1.4216606616973877, 3.954324960708618, -5.942638874053955, 3.5780258178710938, -2.5284829139709473, 2.522843360900879, -2.594538927078247]",0.21919407,-9.936589e-07,But the dusty land we'll never be found We'll never be found I'll find a stand We'll show them all How they can fall To the ground We'll show them all,5.9,1.64,4.3,1.9,
20,45.03487528344671,109.9567819148936,2884.8736750626667,0.0688798810502062,"[0.44763171672821045, 0.4190860986709595, 0.48373451828956604, 0.44801798462867737, 0.4254177212715149, 0.3451349139213562, 0.3703884482383728, 0.44012680649757385, 0.47360730171203613, 0.55698561668396, 0.43964388966560364, 0.3995063006877899]","[-176.9786376953125, 138.9893798828125, -22.998876571655273, 55.41328430175781, 5.306270122528076, 32.77784729003906, -18.885114669799805, 18.999757766723633, -11.31844711303711, 12.896154403686523, -8.68942928314209, 9.947587966918945, -4.156533241271973, 1.5529539585113525, 3.0895256996154785, 1.980430245399475, 2.7276549339294434, -10.086569786071777, 3.402225971221924, -10.249112129211426]",0.12965623,0.00029736763,,5.4,2.5,6.5,2.11,
21,45.0609977324263,135.99917763157896,1879.0195338798776,0.0408065772314528,"[0.2595558762550354, 0.2891901433467865, 0.42240238189697266, 0.7828289270401001, 0.5030794739723206, 0.31967127323150635, 0.28030267357826233, 0.3019508421421051, 0.17346973717212677, 0.25120463967323303, 0.5309286713600159, 0.389589786529541]","[-138.31163024902344, 173.3251495361328, -20.812183380126953, 40.972896575927734, -14.320575714111328, 9.695804595947266, -12.448888778686523, 10.880558967590332, -6.979288578033447, -0.5636540651321411, -14.170645713806152, -6.376750946044922, -1.9129739999771118, -1.5182842016220093, 4.4878082275390625, -14.970486640930176, -8.028616905212402, -10.310779571533203, -5.635550498962402, -9.17941665649414]",0.19745514,1.3974049e-08,,6.6,0.92,6.3,1.42, Happy
22,45.03487528344671,97.50884433962264,1718.3638474959507,0.0396146014597834,"[0.442050576210022, 0.4096779525279999, 0.483397901058197, 0.4699587821960449, 0.5191822648048401, 0.48946183919906616, 0.4386526644229889, 0.524917721748352, 0.5539377927780151, 0.7000277042388916, 0.4902134835720062, 0.4370078146457672]","[-194.24044799804688, 185.2642822265625, -29.843355178833008, 25.69718360900879, 12.645454406738281, 16.499237060546875, -6.68289041519165, 8.28991985321045, 3.716752052307129, 0.9638504981994629, 3.464226722717285, -1.983879566192627, -1.592596411705017, -3.0444068908691406, -1.944350004196167, -0.8047417402267456, -10.874907493591309, 3.4503870010375977, -0.022147061303257942, -4.973936557769775]",0.11744227,-1.2369229e-06,"Thank you. This next time, make no demands. On this stage, on the stage you stand. Willing to leave a plea demands of my love.",4.0,1.34,4.8,1.47,
24,45.0609977324263,95.703125,2292.048971827555,0.0431839610300747,"[0.25846001505851746, 0.30815887451171875, 0.2667911648750305, 0.2692430317401886, 0.30919596552848816, 0.3657313287258148, 0.4423312246799469, 0.33158326148986816, 0.31790322065353394, 0.35395267605781555, 0.4282631278038025, 0.32787272334098816]","[-155.93370056152344, 150.52980041503906, -39.14421463012695, 48.001312255859375, -4.6476850509643555, 8.794921875, -7.393890380859375, 9.872185707092285, -6.341464996337891, 6.13936710357666, -15.395448684692383, -0.18272417783737183, -16.380075454711914, -5.459510803222656, -7.866662979125977, 2.6152098178863525, 3.5705864429473877, -1.3324435949325562, 7.213924884796143, -6.282601356506348]",0.15666176,-1.7585475e-05,The blues Oh yeah Oh yeah Oh yeah Oh yeah Well my bank account is empty My bank is beating sore When I become a rich man I ain't working no more I ain't working no more,5.3,1.62,3.9,1.76,
25,45.0609977324263,143.5546875,2685.713471830617,0.0565255355245363,"[0.4332638084888458, 0.40081533789634705, 0.41786545515060425, 0.4879811704158783, 0.5682775974273682, 0.6218745708465576, 0.6098007559776306, 0.6378504037857056, 0.6837524771690369, 0.6840904355049133, 0.5686339139938354, 0.446858674287796]","[-144.49325561523438, 144.9123992919922, -53.32624435424805, 54.03020095825195, 1.5898407697677612, 25.04462432861328, -7.300914287567139, 18.966999053955078, -4.827452182769775, 19.67017364501953, -4.424212455749512, 6.519974708557129, 0.7759888768196106, 4.880079746246338, -2.842383623123169, 0.29357659816741943, 5.399204254150391, -4.916879177093506, 8.421548843383789, -3.511345863342285]",0.14210248,-9.961516e-06,. . . . . . . . . . . . . . . . . . . . . . . . . . .,7.9,0.7,4.7,2.53,
31,45.03487528344671,161.4990234375,2727.2719384342467,0.0564069951985047,"[0.4330275356769562, 0.4600878059864044, 0.5309734344482422, 0.5075859427452087, 0.5183653235435486, 0.4999358057975769, 0.44102180004119873, 0.3907347321510315, 0.41131165623664856, 0.43388742208480835, 0.5280346274375916, 0.517325758934021]","[-184.38511657714844, 127.7623062133789, -17.026721954345703, 48.05899429321289, -8.237791061401367, 28.6747989654541, 11.236668586730957, 15.139836311340332, 8.559215545654297, 6.7285661697387695, 3.358907699584961, 0.08177018165588379, 2.764895439147949, 2.703965902328491, 2.4149868488311768, -2.369171380996704, -4.473184108734131, -0.48272883892059326, 4.633456707000732, -3.274228096008301]",0.11897704,-4.3467894e-06,Saturday sunrise my wife sitting up in the bed Sunday sunset my wife sitting up in the bed,4.7,1.55,3.8,1.54, Relaxed
32,45.03487528344671,71.77734375,1722.0578625330363,0.0636238399071925,"[0.6437211632728577, 0.41717231273651123, 0.39121174812316895, 0.3398240804672241, 0.4073777496814728, 0.2455710470676422, 0.2664511799812317, 0.29641881585121155, 0.2537260353565216, 0.3075280785560608, 0.20793789625167847, 0.2559638023376465]","[-138.71412658691406, 199.6384735107422, -68.2746353149414, -6.652951717376709, 20.54631805419922, 1.9520374536514282, -7.0373454093933105, 1.5904910564422607, 10.058449745178223, -1.8214937448501587, -8.136028289794922, -1.9061470031738281, -2.515808343887329, 3.3367576599121094, -3.415013313293457, -8.967500686645508, 1.0453081130981445, -0.06506838649511337, -7.162723064422607, -13.277153015136719]",0.23805672,1.4009888e-06,Has fallen lovely All we own once Friendsly and comely Better than to make dandy Over time our only candy Once upon a seaside shanty,4.2,1.78,3.3,1.49,
35,45.047777777777775,156.60511363636363,2028.7587386578307,0.0385737154969724,"[0.2255154401063919, 0.31707897782325745, 0.47020411491394043, 0.3528522849082947, 0.3732416033744812, 0.4706592559814453, 0.37328028678894043, 0.26812034845352173, 0.2343255877494812, 0.2844374477863312, 0.2990870773792267, 0.22974319756031036]","[-167.0561981201172, 147.49411010742188, -6.909106254577637, 41.67854690551758, -9.351414680480957, 18.845867156982422, 5.5701093673706055, 10.951204299926758, -9.758935928344727, -4.6916961669921875, -4.905456066131592, -7.30971622467041, -3.759011745452881, -0.06757797300815582, 1.186787724494934, -6.128870964050293, -1.129765272140503, -3.104978084564209, -2.6992151737213135, -7.716122627258301]",0.22024795,0.00018952122,,4.8,2.14,6.5,2.11,
37,45.03487528344671,139.6748310810811,2384.0548099044204,0.0451940235079917,"[0.5611705780029297, 0.45328396558761597, 0.4554345905780792, 0.4653368294239044, 0.47448182106018066, 0.41596660017967224, 0.4312090575695038, 0.4442548453807831, 0.5060476064682007, 0.5309867262840271, 0.5770633816719055, 0.7223982214927673]","[-143.8412628173828, 167.07276916503906, -47.25412368774414, 39.77486038208008, 6.09935188293457, 15.727412223815918, -13.239279747009277, 17.070409774780273, -6.746689796447754, 13.739095687866211, -5.317185878753662, 5.201910495758057, -6.990810394287109, 9.237375259399414, -1.7237162590026855, 0.7913751602172852, 3.100918769836426, -2.442680597305298, 7.132131099700928, -9.517123222351074]",0.14624305,8.4452346e-08,Oh Earth! Sth-f Jennifer.... Ah-haah! experiments yk tightր I don't love it. I'm on a ass. All right. I am. Again.,6.6,2.11,5.3,2.0,
39,45.0609977324263,123.046875,2589.714129953017,0.0822257071902369,"[0.25908297300338745, 0.27048832178115845, 0.4469591975212097, 0.4147356450557709, 0.532467246055603, 0.3819505274295807, 0.3803003430366516, 0.35236790776252747, 0.307009220123291, 0.3727342188358307, 0.30318590998649597, 0.3975697457790375]","[-106.69711303710938, 156.8247528076172, -80.22675323486328, 42.98836135864258, -8.111223220825195, 9.038677215576172, -8.865036010742188, 3.996229887008667, -3.593136787414551, -10.546717643737793, -0.7509670257568359, -4.7325286865234375, 2.3553640842437744, 1.5264008045196533, 0.9352218508720398, -4.03244686126709, -2.5978822708129883, -5.699499607086182, -2.941474199295044, -5.102492332458496]",0.19341362,1.2009873e-06,"Ramblin' Rose, I'm gonna put you down! Ramblin' Rose, Ramblin' Rose, come on! Yeah! Ramblin' Rose, I'm gonna put you down! Diamond rings and a diamond job!",7.3,1.85,5.4,2.37,
40,45.047777777777775,126.04801829268293,1755.7526134054212,0.030817831462574,"[0.5078301429748535, 0.4420284628868103, 0.4476035535335541, 0.46228310465812683, 0.4737150967121124, 0.40535470843315125, 0.4347192049026489, 0.47704842686653137, 0.41050097346305847, 0.44434353709220886, 0.4548060894012451, 0.4927734434604645]","[-234.81906127929688, 165.9503173828125, -5.660752296447754, 37.49420166015625, 6.33310604095459, 17.230093002319336, -1.7802379131317139, 6.018657684326172, -4.129256725311279, 4.814215183258057, -1.8619433641433716, -0.4271656572818756, -3.042079448699951, -0.7417466044425964, 1.175036907196045, -1.5448002815246582, -3.419053554534912, -4.860220432281494, -1.8684823513031006, -6.769029140472412]",0.0951172,6.5603144e-06,"Seem like maybe half the people we know got the same sad stories to tell. We're holding on. Yes, we're holding on. Oh, but you and me, baby, we don't have to die. No, we can get it on like it's Saturday night.",4.6,1.28,4.8,1.54,
41,45.03487528344671,112.34714673913044,1670.4139657166056,0.0394767649120262,"[0.4273400604724884, 0.6484706401824951, 0.4816727042198181, 0.5093439221382141, 0.5456134676933289, 0.5393767952919006, 0.6073901653289795, 0.5434650778770447, 0.6025024652481079, 0.43608057498931885, 0.30145928263664246, 0.35241425037384033]","[-138.35748291015625, 196.3689727783203, -42.763370513916016, 26.122539520263672, 4.598063945770264, 17.540624618530273, -8.316825866699219, 1.1946284770965576, -3.327791929244995, -7.806712627410889, 0.7666568160057068, -3.1381280422210693, -1.4032038450241089, -3.733438491821289, -2.5576589107513428, -3.2155601978302, -5.853404521942139, -1.8727684020996094, -2.7031116485595703, -4.185723781585693]",0.16349466,3.374262e-06,,4.3,1.62,5.1,1.3, Happy
42,45.03487528344671,109.9567819148936,1805.950201539866,0.0395324030436323,"[0.46180716156959534, 0.4677067995071411, 0.5796246528625488, 0.44655948877334595, 0.49605825543403625, 0.4659753441810608, 0.5966704487800598, 0.6659440398216248, 0.6696042418479919, 0.7319175601005554, 0.5970838665962219, 0.5717117190361023]","[-147.81591796875, 182.81370544433594, -39.86827087402344, 32.4332389831543, 3.4150030612945557, 25.864280700683594, -3.9136953353881836, 11.437051773071289, 4.761027812957764, -1.4766831398010254, 0.5939919352531433, 3.217191696166992, 4.7964067459106445, -2.446526527404785, 3.873307704925537, 2.7408039569854736, -1.8748838901519775, 1.7385470867156982, -0.06665465980768204, -2.399212598800659]",0.14524196,4.9864964e-05,"Did you think that I'd forgotten? Smell you all the night I'm feeling On your porch I'm barely frightened Cinematic influence, yes In our lifetimes neatly dressed",6.1,1.58,5.1,1.92,
43,45.03487528344671,112.34714673913044,1835.4272696730875,0.0416852966292859,"[0.504421591758728, 0.6163196563720703, 0.5418901443481445, 0.5968638062477112, 0.5059463381767273, 0.424397349357605, 0.4338938891887665, 0.37273967266082764, 0.4758487343788147, 0.40440502762794495, 0.4932321012020111, 0.5672510862350464]","[-32.35505676269531, 196.5875244140625, -59.897098541259766, 35.069332122802734, -7.139492988586426, 19.58925437927246, 3.5777599811553955, 8.972991943359375, 11.509584426879883, 7.600461006164551, 4.158193588256836, 4.19641637802124, 5.862226486206055, -0.6530781984329224, 5.171321868896484, 2.840723752975464, 4.234198570251465, 0.5826225876808167, 0.7781089544296265, 0.30983850359916687]",0.48875666,3.9277038e-05,you Hey,6.7,2.33,3.5,1.5,
44,45.03487528344671,89.10290948275862,1755.869764660217,0.0329508652358855,"[0.3437468111515045, 0.4237241744995117, 0.5857123136520386, 0.4522845149040222, 0.532978892326355, 0.4848284125328064, 0.41214844584465027, 0.3899320662021637, 0.37166303396224976, 0.4087989032268524, 0.3532119393348694, 0.32390260696411133]","[-212.6363067626953, 172.61878967285156, -12.401642799377441, 38.46638870239258, -7.968524932861328, 15.188488960266113, -9.257899284362793, 5.01849889755249, -11.703588485717773, -10.195271492004395, -6.722938060760498, -0.9084384441375732, 1.4965996742248535, -1.0334726572036743, 5.56367826461792, 0.24359017610549927, 1.0085880756378174, -0.38335341215133667, 0.8682433366775513, -6.289988040924072]",0.11997372,-1.5677304e-06,Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa,3.9,1.04,4.9,1.58, Relaxed
45,45.0609977324263,184.5703125,1331.584268525573,0.0375625633935471,"[0.38648462295532227, 0.2729637920856476, 0.3368413746356964, 0.36738526821136475, 0.4342944920063019, 0.47676777839660645, 0.4371460974216461, 0.33429017663002014, 0.3947865962982178, 0.5767272710800171, 0.4182254374027252, 0.518220841884613]","[-118.60867309570312, 243.8931884765625, -56.06207275390625, -3.249363899230957, 27.371042251586914, -1.536906123161316, -4.062321186065674, -1.402693748474121, 6.617983341217041, 7.8919782638549805, 5.035974502563477, 1.2338911294937134, -0.3379397988319397, -5.534537315368652, -6.710790634155273, 2.588514566421509, -1.1138603687286377, -6.209964275360107, 3.825378656387329, 3.9011638164520264]",0.3390797,1.561008e-06,Slementings are at the topz cafe.,5.1,2.43,2.1,1.37,
46,45.03487528344671,87.5926906779661,2145.94691507985,0.0436542822731374,"[0.42737266421318054, 0.6590871214866638, 0.6525565981864929, 0.5105820894241333, 0.32678547501564026, 0.2926522195339203, 0.36983099579811096, 0.38672077655792236, 0.3737678825855255, 0.3785770833492279, 0.3615902066230774, 0.3633858561515808]","[-206.28431701660156, 158.53956604003906, -13.841520309448242, 27.944799423217773, 9.091789245605469, 27.982421875, -4.8337626457214355, 0.9832068681716919, -5.043088912963867, 4.7993621826171875, -5.996916770935059, -4.534353256225586, -4.227999687194824, -3.9966650009155273, -4.4748735427856445, -4.246952533721924, -5.41558837890625, -4.000910758972168, -0.5217344760894775, -5.406083106994629]",0.11882121,-9.529161e-06,"With his last dying last words, he just looked up and he said, Wolf, he said, I'm going to go now, but I'm going to implant this knowledge and I want you to tell all the people in New York about this girl. Because it just rolled around the corners, bigger than the blob. Yeah, larger than any kind of thing coming from any planet. It was called, he said, he said, tell him this. And I'm telling you in my own way, in my own, my own.",5.3,1.95,4.0,1.73,
47,45.03487528344671,161.4990234375,1749.4814868753124,0.0341998280001289,"[0.5272554755210876, 0.4800466299057007, 0.5208632946014404, 0.6332994103431702, 0.7274062633514404, 0.6440388560295105, 0.6089712381362915, 0.5087300539016724, 0.4104526937007904, 0.4310627579689026, 0.50371915102005, 0.6095906496047974]","[-180.46142578125, 180.27967834472656, -33.7923469543457, 32.008052825927734, 24.086498260498047, 14.300675392150879, -8.32491397857666, 16.362998962402344, 2.657519817352295, 4.638574600219727, 7.3107590675354, -1.7903517484664917, 1.599869728088379, 3.129225730895996, 3.7959399223327637, -8.216727256774902, -0.8735166788101196, -1.6821951866149902, -2.80142879486084, -2.7005655765533447]",0.1342968,-0.0012604865,,4.4,1.74,4.4,1.56,
48,45.03487528344671,105.46875,1865.206185813004,0.0455625946603506,"[0.5273218750953674, 0.6426187753677368, 0.667353093624115, 0.7639098763465881, 0.6388327479362488, 0.563600480556488, 0.4857456386089325, 0.5000466108322144, 0.5306369662284851, 0.5287946462631226, 0.5701383948326111, 0.43189021944999695]","[-189.67889404296875, 177.15504455566406, -43.833106994628906, 36.99056625366211, 22.732654571533203, 30.46171760559082, -10.081713676452637, 7.106017112731934, 2.0326075553894043, -0.2494904100894928, 0.3013473153114319, -2.40339994430542, -1.7323225736618042, -1.9161738157272339, 0.31262141466140747, -1.215749740600586, -2.6568944454193115, -0.4277362823486328, -0.6853240728378296, -4.909724235534668]",0.10351451,-3.0169178e-06,Thank you. Celestial demons fully unrest. The likely color lie.,4.5,1.86,4.8,1.78,
49,45.0609977324263,105.46875,1491.3961453740685,0.0345792932525115,"[0.24871806800365448, 0.3518139123916626, 0.3081725239753723, 0.3819211721420288, 0.6070221066474915, 0.44165271520614624, 0.47372329235076904, 0.4826730191707611, 0.4798773229122162, 0.5078672766685486, 0.24717310070991516, 0.2000686079263687]","[-155.25502014160156, 196.30734252929688, -21.376827239990234, 8.7142972946167, -13.635421752929688, 21.822139739990234, -10.02907657623291, -3.0641727447509766, 9.82497787475586, -21.04132080078125, -4.361992835998535, 2.5723631381988525, -10.729698181152344, -11.781801223754883, -1.013656497001648, -10.296728134155273, -13.286951065063477, -3.478975296020508, -4.454472541809082, -4.4139862060546875]",0.2146214,9.835308e-08,"A stand for the lamb. A funeral dirge we're quelling fast. You and I will all despise and sinking through. Heavens, heighten our climb. Heighten our climb. Racing a stereotype. It's a logical deathmatch. Thunder...",3.9,1.3,5.3,1.19,
50,45.0609977324263,93.9630681818182,911.355579263008,0.0158424750853297,"[0.4413284957408905, 0.44686397910118103, 0.4856509566307068, 0.5151497721672058, 0.5539882183074951, 0.5117270946502686, 0.45787835121154785, 0.49357870221138, 0.5257569551467896, 0.5709423422813416, 0.5591800808906555, 0.4652300179004669]","[-346.3048095703125, 123.7393798828125, 38.402313232421875, 37.039039611816406, 27.021936416625977, 18.91025161743164, 13.11742877960205, 12.715023040771484, 8.843381881713867, 5.792665958404541, 4.521119117736816, 2.171461343765259, -0.1777699738740921, 0.07488507032394409, 0.9862337708473206, 0.40057313442230225, -0.44688525795936584, 0.2713545560836792, 2.3358867168426514, 2.460296154022217]",0.10446137,-1.0627016e-05,you Thank you.,3.6,1.02,4.8,1.08, Happy
